2,10,381.34,43.57,111.01,80.84,1,-1,-1,-1
2,11,307.66,0.00,85.52,60.14,1,-1,-1,-1
3,10,378.67,33.15,113.86,82.91,1,-1,-1,-1
3,11,290.03,0.00,86.10,58.88,1,-1,-1,-1
3,13,268.55,327.54,206.92,448.43,1,-1,-1,-1
3,14,823.49,344.05,76.62,99.88,1,-1,-1,-1
3,17,199.46,186.71,265.87,168.62,1,-1,-1,-1
4,11,277.26,0.00,77.61,53.08,1,-1,-1,-1
4,13,257.80,326.44,214.39,464.62,1,-1,-1,-1
4,14,826.11,351.28,75.51,98.43,1,-1,-1,-1
4,17,300.32,189.95,199.07,113.37,1,-1,-1,-1
5,13,345.55,295.47,222.66,490.27,1,-1,-1,-1
5,17,339.56,187.27,139.38,79.38,1,-1,-1,-1
6,13,389.63,325.44,204.58,460.80,1,-1,-1,-1
6,42,1004.03,422.70,101.26,96.21,1,-1,-1,-1
6,48,436.40,53.19,352.79,65.17,1,-1,-1,-1
6,50,310.92,0.00,214.70,52.39,1,-1,-1,-1
7,13,399.37,361.31,185.96,424.46,1,-1,-1,-1
7,42,977.21,442.29,93.79,87.54,1,-1,-1,-1
7,48,370.89,54.92,519.73,97.50,1,-1,-1,-1
7,50,255.51,0.00,264.39,65.62,1,-1,-1,-1
7,57,-21.40,228.85,807.20,143.27,1,-1,-1,-1
8,13,391.44,318.17,202.55,466.94,1,-1,-1,-1
8,42,975.18,462.56,88.36,82.47,1,-1,-1,-1
8,48,353.17,54.96,587.17,110.15,1,-1,-1,-1
8,50,218.79,0.00,287.73,73.00,1,-1,-1,-1
8,57,85.77,222.87,672.05,119.24,1,-1,-1,-1
9,10,340.70,-0.88,149.37,107.62,1,-1,-1,-1
9,13,431.32,321.02,200.93,463.95,1,-1,-1,-1
9,50,192.45,0.00,311.41,79.01,1,-1,-1,-1
9,57,101.58,224.35,750.79,134.77,1,-1,-1,-1
10,10,292.20,-2.78,165.08,119.58,1,-1,-1,-1
10,13,412.12,329.03,200.43,455.51,1,-1,-1,-1
10,57,21.72,223.49,855.45,156.72,1,-1,-1,-1
11,10,256.94,-3.57,189.92,137.67,1,-1,-1,-1
11,13,401.83,369.77,184.42,414.38,1,-1,-1,-1
11,57,32.28,225.70,820.80,153.30,1,-1,-1,-1
11,83,21.37,259.91,113.84,75.17,1,-1,-1,-1
12,10,244.13,-3.84,198.57,142.45,1,-1,-1,-1
12,13,423.12,365.86,187.17,417.85,1,-1,-1,-1
12,57,80.86,215.76,789.94,148.59,1,-1,-1,-1
12,83,14.66,245.82,130.52,86.41,1,-1,-1,-1
13,10,204.89,-3.61,246.87,180.39,1,-1,-1,-1
13,13,427.04,392.72,173.05,390.78,1,-1,-1,-1
13,57,100.31,210.55,800.42,151.96,1,-1,-1,-1
13,83,11.35,254.87,146.93,97.79,1,-1,-1,-1
14,10,177.69,-3.71,270.48,199.78,1,-1,-1,-1
14,13,433.91,448.16,147.26,335.07,1,-1,-1,-1
14,57,84.11,217.89,720.26,134.61,1,-1,-1,-1
14,83,7.67,255.17,153.25,102.00,1,-1,-1,-1
15,10,140.46,-3.49,289.91,217.70,1,-1,-1,-1
15,13,427.43,534.23,111.00,248.69,1,-1,-1,-1
15,14,972.90,457.88,11.40,14.30,1,-1,-1,-1
15,42,985.03,542.30,21.84,20.13,1,-1,-1,-1
15,57,54.62,220.87,689.04,127.41,1,-1,-1,-1
15,102,738.75,275.44,176.72,117.97,1,-1,-1,-1
16,10,111.11,-3.24,317.33,240.80,1,-1,-1,-1
16,13,434.22,559.30,100.56,225.31,1,-1,-1,-1
16,14,980.75,468.00,14.50,17.94,1,-1,-1,-1
16,42,986.53,554.07,20.60,19.71,1,-1,-1,-1
16,57,7.36,231.55,695.62,129.05,1,-1,-1,-1
16,102,684.47,275.32,188.18,125.19,1,-1,-1,-1
17,10,72.48,-3.06,340.91,262.29,1,-1,-1,-1
17,14,991.87,477.47,10.70,13.23,1,-1,-1,-1
17,42,987.18,567.13,14.41,13.78,1,-1,-1,-1
17,57,-19.94,224.49,729.79,136.37,1,-1,-1,-1
17,102,652.91,267.39,199.76,133.12,1,-1,-1,-1
18,10,51.75,-2.86,349.52,268.60,1,-1,-1,-1
18,57,31.01,234.97,613.60,119.38,1,-1,-1,-1
18,83,5.92,235.88,167.77,110.74,1,-1,-1,-1
18,102,572.78,240.28,250.82,162.87,1,-1,-1,-1
19,10,7.75,14.78,391.07,301.86,1,-1,-1,-1
19,13,523.24,686.39,42.09,95.84,1,-1,-1,-1
19,57,23.54,240.53,878.62,174.10,1,-1,-1,-1
19,83,3.77,233.86,172.75,114.03,1,-1,-1,-1
19,102,526.93,230.53,267.72,173.85,1,-1,-1,-1
